neighborhood,sex,occupation,destination,value,probability
Bonfim,HM,Empregada,Campanhã,594.0,0.07435223432219301
Bonfim,HM,Empregada,Paranhos,594.0,0.07435223432219301
Bonfim,HM,Empregada,Ramalde,594.0,0.07435223432219301
Bonfim,HM,Empregada,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",594.0,0.07435223432219301
Bonfim,HM,Empregada,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",594.0,0.07435223432219301
Bonfim,HM,Empregada,União das freguesias de Lordelo do Ouro e Massarelos,594.0,0.07435223432219301
Bonfim,HM,Total,Campanhã,824.3333333333334,0.10318354403972128
Bonfim,HM,Total,Paranhos,824.3333333333334,0.10318354403972128
Bonfim,HM,Total,Ramalde,824.3333333333334,0.10318354403972128
Bonfim,HM,Total,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",824.3333333333334,0.10318354403972128
Bonfim,HM,Total,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",824.3333333333334,0.10318354403972128
Bonfim,HM,Total,União das freguesias de Lordelo do Ouro e Massarelos,824.3333333333334,0.10318354403972128
Bonfim,M,Total,Campanhã,441.8333333333333,0.055305211332248506
Bonfim,M,Total,Paranhos,441.8333333333333,0.055305211332248506
Bonfim,M,Total,Ramalde,441.8333333333333,0.055305211332248506
Bonfim,M,Total,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",441.8333333333333,0.055305211332248506
Bonfim,M,Total,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",441.8333333333333,0.055305211332248506
Bonfim,M,Total,União das freguesias de Lordelo do Ouro e Massarelos,441.8333333333333,0.055305211332248506
Bonfim,H,Total,Campanhã,382.5,0.04787833270747278
Bonfim,H,Total,Paranhos,382.5,0.04787833270747278
Bonfim,H,Total,Ramalde,382.5,0.04787833270747278
Bonfim,H,Total,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",382.5,0.04787833270747278
