section,geometry,neighbourhood
131217050,"MULTIPOLYGON (((-8.61269428189826 41.16190124760145, -8.614300330173368 41.16209724430808, -8.614455140563365 41.16211613418746, -8.614401908556486 41.16236006714837, -8.614241437503289 41.16309552752436, -8.613915160615933 41.16418737359295, -8.613766669138553 41.164729616696235, -8.613742236892604 41.164809855425396, -8.612459365020287 41.16473256592652, -8.612454834977362 41.16478147561538, -8.612376974544137 41.16477396764188, -8.611562597779852 41.16507072354286, -8.611445249589861 41.164942451646596, -8.611277809892298 41.16477549516279, -8.611157032203106 41.16465047786221, -8.610989214087938 41.16454538050257, -8.611064976002849 41.16309179325462, -8.61113179730584 41.16270297607834, -8.611351167828827 41.161720277370584, -8.611808348857412 41.16178187777388, -8.61269428189826 41.16190124760145)))",UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
131217049,"MULTIPOLYGON (((-8.617211196050897 41.16506485654459, -8.617199050383636 41.16506367579805, -8.617188247344487 41.165062625373025, -8.616040556583583 41.1649510611316, -8.616040161907382 41.1649510231673, -8.616031833394572 41.1649502530987, -8.61488532289487 41.16484426408164, -8.61488491630499 41.16484422616321, -8.614867647585397 41.16484245610483, -8.613766669138553 41.164729616696235, -8.613915160615933 41.16418737359295, -8.614241437503289 41.16309552752436, -8.614845427720402 41.16316662969354, -8.615288672015222 41.1632188109786, -8.61630917773993 41.16334256621214, -8.617456824455545 41.16349349138416, -8.61850055073597 41.16362732154728, -8.6193163445085 41.16372431881298, -8.619452744702528 41.16374054235556, -8.619839397335532 41.16378886698408, -8.620217630645719 41.16383613729473, -8.620710236103868 41.16389650709303, -8.620601969399189 41.16446150650288, -8.620134385336728 41.164401776918, -8.620112616205615 41.164544528224404, -8.619904787290178 41.16486130398494, -8.618277264272194 41.16515797351174, -8.618276869212263 41.1651580454096, -8.61826703836308 41.165159085398685, -8.618207692495751 41.16516536195193, -8.617211196050897 41.16506485654459)))",UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
131203025,"MULTIPOLYGON (((-8.56237079240295 41.1488310449049, -8.562372946997584 41.14882770165789, -8.562478221058223 41.14866433564425, -8.56244985810704 41.14860852693478, -8.56242764427874 41.14854539906049, -8.562426862489783 41.14842609499041, -8.562422183526527 41.14816606895566, -8.562437282613502 41.14810748518255, -8.5624708945951 41.14803703848169, -8.562667431000271 41.1477810282804, -8.562731968060778 41.14774090184522, -8.562840036978765 41.14765405589067, -8.5628862591929 41.147600125558796, -8.562972022798556 41.147454654203266, -8.5630305158356 41.147400412391626, -8.563119744204661 41.14731111436136, -8.563153440856654 41.14725471125344, -8.563165159111712 41.147151747550865, -8.56318619525757 41.14707197943312, -8.563204495794041 41.14702968150778, -8.563253664354457 41.146952424104846, -8.563333424492408 41.14685370846951, -8.563379200131383 41.14673197488574, -8.56341903428893 41.14668482597387, -8.56368665901982 41.1463702559062, -8.563688779725585 41.146367763673105, -8.56376799612741 41.14642974898238, -8.563823002649714 41.14647279041981, -8.563993001206178 41.14656669335837, -8.56414994343486 41.146630577503664, -8.564374253357288 41.1467042869323, -8.564749395374387 41.1468174120468, -8.565686917993606 41.14707887405932, -8.565679945255184 41.147071716556766, -8.565558351955032 41.14694690519626, -8.565209286087322 41.146741661141064, -8.565420372503533 41.14647163934982, -8.565635109499008 41.14643003985654, -8.565845806160182 41.14640898780892, -8.566177896366414 41.14638918268931, -8.566288305861786 41.14635131026896, -8.566483642305021 41.14623972813759, -8.566516133788404 41.14621790445977, -8.566608296276698 41.14623106602678, -8.566644358024533 41.14628018242353, -8.566678145437384 41.146453113871, -8.566708317324467 41.14651350967855, -8.56681854656312 41.14655586007181, -8.56700030544818 41.14664269537957, -8.567197067896117 41.14674739165807, -8.567310377681206 41.1467874815782, -8.567503493115305 41.14680926082536, -8.567583764723787 41.146806707900666, -8.567732386596036 41.14680164146056, -8.567794718403691 41.14680590845152, -8.56784605604692 41.14681063560424, -8.567949664628877 41.14682017456072, -8.568026652688369 41.14682528563621, -8.568118577676533 41.14680251765043, -8.568245441736519 41.14673054289713, -8.568258286854372 41.146755462593376, -8.56838723217133 41.14700562647345, -8.56848194223632 41.147168514178645, -8.568601710555413 41.14733796940254, -8.568624133508905 41.147351398386924, -8.568677896495041 41.14738359733349, -8.568769337448952 41.14741305600213, -8.568860049242481 41.147403976854996, -8.568884808041906 41.147401361971575, -8.568957580354482 41.14736426058097, -8.569021089772464 41.14731332116527, -8.569062887672747 41.147221503007806, -8.569164577932098 41.146947653602005, -8.569221399858138 41.14682649539647, -8.569333067392884 41.14658838961861, -8.569377281733047 41.146494112997, -8.569587302326314 41.14610270779329, -8.569650197395008 41.145960110351616, -8.569740352047813 41.145796610352775, -8.570032511636224 41.14539813874686, -8.570062488065393 41.14531977975068, -8.569987761746944 41.145046605786284, -8.570002304014261 41.14497649661277, -8.570026257452618 41.14490635084117, -8.57007748496684 41.144836011564145, -8.570213760752187 41.1447838085445, -8.570368843461997 41.14478321727781, -8.570578799302954 41.14481249023064, -8.570712526556171 41.14480630954643, -8.570858097383285 41.14475370757804, -8.570991220819986 41.144675402035396, -8.571121282846459 41.14458513306284, -8.571442296406396 41.14438860804388, -8.571552067682982 41.1443279456329, -8.571815146380006 41.144249322724015, -8.572124746924244 41.14418168644808, -8.572489158954431 41.144134192874986, -8.572876393775548 41.144116410998166, -8.573292408949744 41.14408417658156, -8.573309270562351 41.14408287044539, -8.573403953880193 41.144074781034064, -8.573420110502724 41.144092556043276, -8.573436194652446 41.144103947226235, -8.573454436525148 41.144113637336545, -8.573474343213773 41.14412130500047, -8.573495295130822 41.14412674458477, -8.573516649769173 41.14412988560988, -8.573537797583034 41.14413077722881, -8.573558169339988 41.144129618813956, -8.573577349770593 41.14412665507167, -8.57358675591683 41.144124277968004, -8.573629546420088 41.14420695187431, -8.573743952941047 41.144260411788736, -8.573895807642337 41.1443349056866, -8.574430431242186 41.1446338695166, -8.574682887472246 41.14478984106392, -8.57503443921957 41.14505627935088, -8.575112727853577 41.14506460516975, -8.575190905588759 41.14504400031414, -8.575783157409678 41.14488516148315, -8.575486385121408 41.1449870127518, -8.57502134866084 41.14517309376176, -8.574481690379672 41.14542026355334, -8.57402868441779 41.14540301086393, -8.573696480893405 41.14544073163223, -8.57349692865449 41.145463393327184, -8.572888851579487 41.14561914729684, -8.572760117699339 41.14567314987499, -8.572706819096846 41.145709324846074, -8.572660106866785 41.14583991700743, -8.572563618452888 41.14642319658325, -8.572565414897163 41.14651367104352, -8.572565642185625 41.14654771389861, -8.572572569195167 41.14657361015294, -8.572607987496042 41.14659577795033, -8.572766847530405 41.146623623747686, -8.572799361817674 41.14663902227915, -8.572814074819071 41.14666441156763, -8.572829721483382 41.146711695016805, -8.572817319131813 41.14675759080834, -8.572841499051032 41.1468447292383, -8.572867994994123 41.146886262494526, -8.57294202754632 41.1469791705662, -8.572989513645382 41.14702458556882, -8.573053861324277 41.147065713105924, -8.573163383947792 41.14711672502046, -8.573156905692626 41.14712235949004, -8.572991261997515 41.14731078906292, -8.572803222695413 41.14747232859221, -8.572647634470632 41.147666626144925, -8.57256699380674 41.14791090716805, -8.572513328250247 41.14796555950011, -8.572286717138255 41.14805795939041, -8.572207067055452 41.148247437591664, -8.572236538501857 41.1486006512101, -8.572179187030784 41.148592361600556, -8.572114648572008 41.14858688980604, -8.572054566494502 41.14858355393832, -8.572000524388981 41.14859278133072, -8.571965579881958 41.148618576011835, -8.571968128322638 41.14862024111505, -8.571798940282205 41.14895855471367, -8.571837066671465 41.149041921404994, -8.571629807104774 41.14917878007988, -8.57134749223003 41.149423207362645, -8.570952873211416 41.14976489021128, -8.570923600470723 41.149783882726744, -8.572303622546873 41.150740026216035, -8.57219895343464 41.1507834201803, -8.572166096050125 41.15080080588688, -8.572100418043469 41.15083556002349, -8.572024712943742 41.15089049418976, -8.571924267772452 41.1509828537442, -8.571889052608565 41.15104418424266, -8.571812533646051 41.15101211851063, -8.57175536003799 41.15099507577756, -8.571721002410671 41.150975074650646, -8.571479357386975 41.150810240384494, -8.570452013127065 41.150109451303095, -8.570433029515685 41.150122776900346, -8.56993995885041 41.15057005137647, -8.569505538896033 41.15089568129278, -8.569309786146892 41.15110230029704, -8.569196321578165 41.15125301632996, -8.569015550150297 41.151640639634394, -8.5684113704771 41.15158753405816, -8.56857012459226 41.15183167980083, -8.56874489837823 41.15215594587148, -8.568372302069895 41.152280440405896, -8.568120028617594 41.15236472694746, -8.567803948317477 41.15247033205228, -8.567492955748337 41.152574232387195, -8.567293115891513 41.15259861325692, -8.566752539058717 41.1526643284172, -8.566528457074485 41.15269402084878, -8.566631648496696 41.153198361180046, -8.566644601780164 41.15326762529513, -8.566638073662363 41.153298235876164, -8.566571996951316 41.15335286007535, -8.566452783894924 41.153468155629845, -8.56632252809834 41.15359432393464, -8.565945808192058 41.153959223607146, -8.56564304977174 41.153989003723524, -8.565570271075508 41.15381316791562, -8.56541554456804 41.15357908698215, -8.565237041383751 41.15321472629347, -8.565201555129466 41.15309365711317, -8.565195995664812 41.15289867862202, -8.565435116661556 41.1522340861142, -8.566355899953136 41.15155379207299, -8.565701353281748 41.1515453054398, -8.565261405462218 41.15123214263461, -8.565013300941018 41.15114970625641, -8.564623362575619 41.151053412675715, -8.56462223256349 41.15105312786871, -8.56462072655086 41.151052729214356, -8.564527001970223 41.15102795089342, -8.564424322463937 41.15099042883365, -8.563908777156922 41.150704475013484, -8.563669611617268 41.15047138267975, -8.563591774095475 41.15030185846407, -8.563514595656514 41.150167293879456, -8.563391882527808 41.15006824057351, -8.563271443608539 41.150005231223695, -8.563153199628776 41.14996817133958, -8.563033137958943 41.14996284860397, -8.562880666061444 41.14997784256095, -8.562848006940218 41.149991244944815, -8.562789538786069 41.15004164258558, -8.562682300328788 41.15013003051376, -8.562618816502988 41.15016050300116, -8.562545280744663 41.15018203557485, -8.562455834936397 41.1501932462698, -8.562409313578353 41.15019269930746, -8.562168816457458 41.150150224020315, -8.562181069861582 41.15011679199022, -8.562223889306798 41.15001036655801, -8.562293541618736 41.149913962044415, -8.562419909197548 41.149786993308574, -8.562502949211126 41.149690538769555, -8.562549416668045 41.14962098960144, -8.5625579996224 41.14946890716194, -8.56251854418033 41.149295286170435, -8.562448844121045 41.148890077498194, -8.56237079240295 41.1488310449049)))",Campanha
131203017,"MULTIPOLYGON (((-8.580567786397932 41.15927232256212, -8.579971950925845 41.15868018559062, -8.579855572291654 41.158572526290264, -8.579837736220338 41.15850752372832, -8.5792326588188 41.158510240685146, -8.578647045696263 41.15852300817182, -8.578614752200743 41.15792475434775, -8.57854154585082 41.156496940870916, -8.578525432398717 41.15619739591616, -8.57850359134058 41.1556592396841, -8.578443695578647 41.154190811283314, -8.578438556962396 41.15404799142934, -8.578383359530513 41.154040181930554, -8.578168426945538 41.15404000498266, -8.578031751624483 41.15398725689491, -8.577957110223352 41.1538965786531, -8.577828248043561 41.15364127322978, -8.577658456766034 41.15345848103659, -8.577529530414882 41.15333413939998, -8.577488403104104 41.153234929567745, -8.577355106990233 41.15287135876491, -8.577638720181824 41.15291496856491, -8.578493126837964 41.15279837620805, -8.578850709879777 41.15274236450523, -8.578854006253641 41.15274183850099, -8.579024078372427 41.15271849827512, -8.57922408772303 41.15269862559437, -8.579376944087937 41.15269427778334, -8.579740583073166 41.15263572764029, -8.58017693249472 41.152616907745575, -8.580388235320655 41.15260780254686, -8.580514094005327 41.15259400533021, -8.58060795363092 41.15257313871016, -8.580736127037664 41.15251277251744, -8.580749033993195 41.15250668943973, -8.580814318498586 41.152473885860715, -8.580763791252386 41.152432862075365, -8.580604628058651 41.15231061242076, -8.579931137436315 41.1517583673723, -8.57969674260569 41.15153325878543, -8.579465151896446 41.15107885178105, -8.579406267855694 41.15087699414138, -8.579374876305584 41.15073642890405, -8.57935029244123 41.150603508098804, -8.57935268458427 41.150457696589825, -8.579375282169112 41.150301569740094, -8.579405190137674 41.15022216414892, -8.579465306121664 41.15010938118257, -8.579559147552814 41.14998111503768, -8.580083605709945 41.150168955297865, -8.580346272870045 41.15020455382014, -8.580552855460112 41.150304460862756, -8.580723281879699 41.15043196143613, -8.580954878376534 41.150524612081426, -8.581309883048483 41.15067426239844, -8.58166061581486 41.15062197841984, -8.582376644855419 41.15051524253865, -8.58251721127882 41.150498297273536, -8.58263416474032 41.15047723985046, -8.58292647804948 41.15044241342973, -8.583661181801737 41.150381039854736, -8.583701712195532 41.15032272484523, -8.583963387514165 41.14952437723187, -8.584253069695038 41.14864051553941, -8.584307412777745 41.148227991015936, -8.58490161477711 41.14708876626666, -8.585117851520344 41.14667452746588, -8.585233805219534 41.146710196136766, -8.585510106568139 41.14679518859424, -8.58503671077217 41.14769332166618, -8.584556388846085 41.15161087305785, -8.584363951662844 41.15261252195614, -8.584122157843119 41.1536857654777, -8.583620591081065 41.1559100877488, -8.583584569818496 41.15599933210596, -8.583119717329275 41.1560307653209, -8.583128027951675 41.15612564414042, -8.583121603755284 41.15664679346146, -8.58309788459167 41.15683477274142, -8.583088031107293 41.156905744819284, -8.583072952804223 41.157014265643625, -8.583029648450497 41.15720387015146, -8.58297247244809 41.15742780657812, -8.582901416745482 41.15768109642507, -8.582880623769624 41.15774322479819, -8.582846184165911 41.15784610341352, -8.582761104718676 41.1580786586662, -8.582661894691352 41.15833704665028, -8.58258113998883 41.15854710101213, -8.582493703196187 41.158754002844425, -8.582474572336578 41.15874908906959, -8.582427966684142 41.15873710690206, -8.58210025238547 41.15867205333766, -8.58189070785911 41.159178418221195, -8.581768382436643 41.15923499904772, -8.581391349789296 41.15933313498376, -8.581287332805696 41.159349198311745, -8.581273108521382 41.15934940672995, -8.581203849141415 41.159350424442685, -8.580893882512107 41.15935498036564, -8.580645575844061 41.15935862958051, -8.580567786397932 41.15927232256212)))",Campanha
131217028,"MULTIPOLYGON (((-8.623923893258931 41.16328280919819, -8.624367163650327 41.163310303355146, -8.624644408219755 41.1633285924511, -8.624787135655327 41.163357712000064, -8.62482869337549 41.16440133679519, -8.624176502911828 41.164314880814246, -8.623199772173678 41.16422387221619, -8.62244429427987 41.164122549284215, -8.621715497142468 41.16402480809682, -8.62133127272488 41.16397330995404, -8.620710236103868 41.16389650709303, -8.62078616722278 41.16328844343765, -8.620856565349307 41.16272479357807, -8.620891845873134 41.16246678788968, -8.62092773076388 41.162187647340694, -8.62105946286224 41.16130037728385, -8.621087693294148 41.161108724599046, -8.621133950479008 41.16068644842004, -8.62116725250305 41.16048002600003, -8.621724831667143 41.16043733526783, -8.621900552959321 41.16041666222139, -8.62223792888031 41.16043203576728, -8.622274961611536 41.16050623273935, -8.622550926932067 41.16072225952199, -8.622715757285995 41.16094424352039, -8.623019007596515 41.161493794525676, -8.623335743485496 41.16210155254352, -8.623388747821464 41.162203242531305, -8.623451995424235 41.1622935704362, -8.623719706787318 41.16286074815249, -8.623826374073953 41.163086742001994, -8.623923893258931 41.16328280919819)))",UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
131210028,"MULTIPOLYGON (((-8.586174645109391 41.1767197117485, -8.585901937833631 41.17640720417631, -8.585725811540424 41.176261258365486, -8.585651539183718 41.17621196521404, -8.585815406460549 41.1759232117661, -8.58589915342992 41.17577564119172, -8.586996291831296 41.176065964085105, -8.587565888990026 41.176216684343764, -8.58775478827178 41.17626725177282, -8.587815161389644 41.17627271227816, -8.587821426856179 41.17644941805186, -8.587924679019785 41.17644936334271, -8.588130716097577 41.176440631154165, -8.589033979125578 41.17622855421475, -8.589424726675695 41.17615838486578, -8.589512071878303 41.17616067795102, -8.589652087626078 41.17620235240385, -8.58975027933064 41.176257388344375, -8.589834753901927 41.17634942872566, -8.589965758604814 41.176602282637205, -8.590290949916158 41.177197171900865, -8.590179604355765 41.17723765512767, -8.590031019507316 41.17730930406441, -8.589765497977337 41.177344780628864, -8.589431619081578 41.17737765775197, -8.588528609334208 41.177464420974815, -8.588297215858153 41.177494021652464, -8.588107406466598 41.177497640413925, -8.587992557423087 41.17756237859548, -8.58792275821569 41.17764816555823, -8.587696944920294 41.177777922345165, -8.58688608562482 41.1784376283061, -8.586811569036204 41.178308697296224, -8.586688310148299 41.17783474702999, -8.58647084123308 41.177100889491506, -8.586174645109391 41.1767197117485)))",Paranhos
131202023,"MULTIPOLYGON (((-8.587941695495838 41.14654813930742, -8.587541189615179 41.14608033218973, -8.587594047604284 41.14592093002521, -8.587623925000663 41.14581500901176, -8.587626926215902 41.1457497181984, -8.58760145348682 41.14570083763817, -8.587529605671454 41.14565628023218, -8.587529316169434 41.145656101286846, -8.587348915412568 41.145595767677506, -8.587385932129154 41.145489547535554, -8.587452849823457 41.14527876326643, -8.587619040398852 41.14511071643284, -8.587473173722888 41.14482595149238, -8.587437869883033 41.14468202441391, -8.587403580834668 41.144585526542286, -8.587367289994178 41.14448339801569, -8.587324171181427 41.14436309316256, -8.587298388778692 41.14429666872672, -8.587298311154886 41.14429646733486, -8.587286448351009 41.14426590374753, -8.587287090113492 41.14422115039316, -8.587299961956598 41.144135377128016, -8.587327992950371 41.14402154409434, -8.587324385577567 41.14396501446701, -8.587243518226806 41.14372071513482, -8.587243479291098 41.143720596430605, -8.587261534862462 41.14367883320522, -8.587280471824787 41.14360978685603, -8.587275099894358 41.14353867709706, -8.587237780976714 41.14346507841514, -8.587210491849863 41.143445739249856, -8.587189266946652 41.143408454771524, -8.587171142487072 41.143337305229096, -8.587165460674894 41.14317047749932, -8.58715017438872 41.143026737015, -8.587135462044106 41.142949450139, -8.587112939553156 41.142900500189235, -8.587050933635911 41.1427657356755, -8.587050809089936 41.14276546603509, -8.58753347966693 41.14220277149652, -8.587676841034119 41.1420406664975, -8.586407843503391 41.14107755350464, -8.586712758684284 41.140870326821485, -8.587384720757393 41.14039917758009, -8.587751846957673 41.14026779427548, -8.588994871293021 41.139636702042004, -8.590107190613578 41.139208083162224, -8.590143791923635 41.139195872088266, -8.59152857109165 41.13872716922707, -8.59418349674972 41.13835067971358, -8.595126695263197 41.13869075994415, -8.595498794201282 41.13889823338599, -8.59646450677615 41.139436680419365, -8.596835130899821 41.1396961845281, -8.59702901206664 41.139831934552504, -8.59609665694583 41.1403217480833, -8.595298499607782 41.140766101871165, -8.595466370092753 41.14090853925479, -8.595624596863106 41.14110945350088, -8.595734057763778 41.14119451589859, -8.595965993047402 41.14142475261601, -8.596281909879014 41.14170196649921, -8.596059387461212 41.14180394138626, -8.596252772282874 41.14241787547628, -8.596432243667502 41.14298867476535, -8.597164843633283 41.14528882389972, -8.596157067862583 41.14571973674493, -8.596134961695494 41.1457283518392, -8.595741870071501 41.145881507134746, -8.59567625212107 41.145907081022195, -8.595338172844137 41.1460155243423, -8.595142429474388 41.14605068739522, -8.594487504956534 41.146169259826024, -8.59434191730161 41.14619561244685, -8.593078704276444 41.14642429226556, -8.592748347416567 41.14647980729843, -8.59099372103087 41.14679325429375, -8.590697683497936 41.14684613281466, -8.589544314750041 41.147062532760444, -8.589070505785422 41.14713640539712, -8.5889891355217 41.14692936049304, -8.588827396000672 41.146850082211806, -8.588305447226794 41.14659423924065, -8.588154858438246 41.146554683733434, -8.5881544873002 41.14655458615148, -8.587941695495838 41.14654813930742)))",Bonfim
131216025,"MULTIPOLYGON (((-8.670713667363975 41.16370803394979, -8.669813902352791 41.16356210176497, -8.66919318984243 41.16346142819087, -8.66866304337929 41.16337543766774, -8.668506329818154 41.16330064332531, -8.668415084042731 41.163213748862624, -8.668216046968261 41.16292205738709, -8.667961233381918 41.16287672093281, -8.66754127086161 41.16280015251647, -8.66691397324114 41.16268968246662, -8.666418550043263 41.16261207387272, -8.666351362391824 41.16260154552676, -8.666212856869189 41.163148960939616, -8.666176873632015 41.16329114732326, -8.664314883156996 41.16296940147415, -8.664275853590755 41.163131751207466, -8.664186793185403 41.16350461956909, -8.664193931069208 41.16354884112436, -8.664218918178094 41.16359341168477, -8.664258661367878 41.16363419630847, -8.664462082943414 41.163820222119526, -8.664230865353314 41.16378008021943, -8.663613724252706 41.16367822555706, -8.663298293176263 41.163624496702475, -8.662998669397952 41.16357213045417, -8.663017925606631 41.16355160384452, -8.663134235007787 41.16333280560333, -8.66315821517221 41.1632634519756, -8.66325499769216 41.16303168628368, -8.663368960953765 41.162656404259906, -8.663486938321563 41.16246704210914, -8.663631455688758 41.16236282588968, -8.66404648042077 41.16214678614718, -8.664612514480407 41.161849275753255, -8.664624028935798 41.161843823624686, -8.664624153577762 41.16184376632225, -8.664919392993545 41.1617072981057, -8.6653058462636 41.161528665451286, -8.665170187880275 41.16127690079348, -8.665169997972585 41.16127654870097, -8.664816610202964 41.160791509059024, -8.664800378969515 41.160768656254916, -8.664602686207372 41.160490319102955, -8.664400395495036 41.16021293385191, -8.6654707109531 41.159789929909664, -8.6660809895269 41.159548731518704, -8.6662209680973 41.15973744215573, -8.666261553769708 41.159800875317174, -8.667160604396521 41.159448544397314, -8.668247239255239 41.161013592698176, -8.668261607617742 41.161034017997444, -8.668459431783049 41.160961245075036, -8.66853906672458 41.16094970055005, -8.668698144026248 41.16096004260674, -8.66992279524409 41.161098901689215, -8.670366115669486 41.16118454593019, -8.670686360577898 41.16135992019837, -8.671030332902934 41.16159109784175, -8.67107239538963 41.16161936228026, -8.671361808750731 41.16178583019527, -8.672143599904791 41.16213632076967, -8.672213076101798 41.162175256285025, -8.672213070661137 41.1621753193408, -8.672103822376979 41.16336670862824, -8.671553880666144 41.163763092116774, -8.671501434461991 41.16383885384751, -8.670713667363975 41.16370803394979)))",Aldoar
131216019,"MULTIPOLYGON (((-8.660598197974625 41.168485013294365, -8.660243812454024 41.16864438059467, -8.660172470899074 41.16867658146509, -8.659346095903665 41.16904806396509, -8.659255957381156 41.16909758261117, -8.65925451116784 41.16909837709543, -8.659195775184436 41.16913064403628, -8.658891699692672 41.16933561475246, -8.658400283463196 41.169080297403106, -8.65839989338102 41.16908009478405, -8.659044727750528 41.16832563450506, -8.659049677804513 41.168319398020564, -8.659065717432696 41.168300274338115, -8.6591847036272 41.16815841443425, -8.660195631345221 41.166957660437646, -8.660344617077792 41.166770407198584, -8.660533881657113 41.16657514727425, -8.660737191721534 41.16636539506779, -8.660758434938096 41.16633867467181, -8.661358592304163 41.16558376110454, -8.662041472871088 41.16473572263562, -8.662041522428316 41.164735662079075, -8.662048456190858 41.164727692925275, -8.662669817386012 41.164013526713575, -8.662670246668046 41.16401371653207, -8.66300801379339 41.16416281271603, -8.663091130828308 41.16408166420132, -8.663114126723379 41.164068457095176, -8.663148750259431 41.16406393067451, -8.663195017880689 41.164070272004025, -8.6632220901957 41.1640986443028, -8.66358785072158 41.164779255038226, -8.663627708797367 41.16484458423138, -8.663904787758625 41.16529884819212, -8.664047011397603 41.16538378239769, -8.66453003815146 41.16563085846792, -8.664878958046224 41.16580933998521, -8.665252621102345 41.16604156728422, -8.665498965164153 41.16621810940426, -8.665913156544665 41.166514920692485, -8.666656990726457 41.16713380935728, -8.66675719265211 41.16722416633572, -8.667468873109218 41.16682556725112, -8.667968136228124 41.166546940641936, -8.668497717198525 41.16620675336247, -8.66860666584996 41.16783876444893, -8.669254098997666 41.168151457526754, -8.668415207817466 41.16875068256769, -8.667659973027769 41.16929276082917, -8.667520742232742 41.16939269481937, -8.667430656659455 41.16945814914393, -8.667270824409725 41.16929310390644, -8.667122114117856 41.16926041716782, -8.665553422097071 41.16919484081778, -8.665339857747725 41.169185926715734, -8.665236717582756 41.16918159675941, -8.665147048017298 41.16918971959006, -8.665066891282219 41.16919698802792, -8.665051108891136 41.16920220238301, -8.664996407742677 41.16922028354805, -8.664681702084382 41.169324312675776, -8.66463549842377 41.16934257955992, -8.66449249230034 41.16939911029798, -8.664402104007992 41.16943484220259, -8.66432531505924 41.16946520777309, -8.66427681605466 41.16948552817906, -8.66402727821249 41.1695900923709, -8.663873813671735 41.169654630363745, -8.663760416949627 41.16970232647375, -8.663185163832264 41.16994426144332, -8.66247606902226 41.17024246533337, -8.662232469965558 41.169913449472446, -8.662024421100494 41.17005539193624, -8.661660184489673 41.17033400254088, -8.661541871012272 41.17041228688214, -8.661484037003392 41.17041740553076, -8.661426039363889 41.17040067322486, -8.661345142450324 41.170335460419096, -8.661316967273253 41.170245812089355, -8.66135257705544 41.170215296127, -8.661380954484374 41.17017613406356, -8.661394922286338 41.170130536968145, -8.661391592231967 41.17007200797151, -8.661339288614613 41.16998986285228, -8.661055690608574 41.16968110844126, -8.660980294474157 41.16957954853688, -8.660904543970974 41.169432466171884, -8.66088301334716 41.16936587344516, -8.660598197974625 41.168485013294365)))",Aldoar
131218017,"MULTIPOLYGON (((-8.659227427230253 41.155907589334596, -8.659108913012538 41.155947470547424, -8.659022977773425 41.15595574263364, -8.65895249447609 41.15594029962113, -8.658902733488299 41.15590900438184, -8.658854740906861 41.15586657258565, -8.658368486751025 41.15516843333945, -8.657867494967098 41.154625309404075, -8.658529194115793 41.154261244114565, -8.658944268522015 41.1540328683192, -8.659159446452593 41.15393857562763, -8.659294015413362 41.15376331905719, -8.659327360450005 41.15373974643475, -8.659525294303824 41.1536850050721, -8.659570520292695 41.153792764054465, -8.659956050267796 41.15392163547693, -8.660078335980952 41.15380131294192, -8.660405041161585 41.15366894153086, -8.661016362252965 41.153553953669416, -8.661273874226021 41.153529585225506, -8.661618158726405 41.15349485840499, -8.661837285969193 41.153473627241176, -8.661900164689094 41.15356576998586, -8.662331496931202 41.15419497817342, -8.662507787123186 41.15448680288798, -8.66253255724353 41.154603745479704, -8.66275824169193 41.154727590982695, -8.662758668893112 41.15472782583253, -8.662967540086983 41.154842868149046, -8.663222460979448 41.1551638633417, -8.663746632256009 41.15595705074955, -8.663802273369738 41.15602788006523, -8.663929245415698 41.15618950816666, -8.664164099481525 41.15648781088329, -8.66421191041818 41.15659065139693, -8.664252612988724 41.15667820018441, -8.664475190674741 41.15675595798372, -8.664614841928579 41.15681771193445, -8.664694223031884 41.1569392625448, -8.66469100739443 41.15702787736016, -8.664660778458774 41.15703954781531, -8.664638140049904 41.15704799840231, -8.664573526373404 41.15705877849241, -8.66449513013183 41.15708011128171, -8.664421994757374 41.157106723305816, -8.664407585542849 41.15711196726289, -8.664317775338663 41.15715082009085, -8.664053995115552 41.15726209447675, -8.663757015581291 41.157379843151595, -8.663081552221172 41.15764464236291, -8.661761364568395 41.15816494121056, -8.661411484751957 41.1576446011117, -8.661036360583898 41.15710292906739, -8.660515832187919 41.15634498186387, -8.659743849962842 41.15664161057538, -8.659227427230253 41.155907589334596)))",LordeloDeOuro
