freguesia,genero,ocupacao,tempo,destino,valor
Ramalde,H,Empregada,61 - 90 minutos,Na freguesia onde reside atualmente,1
Ramalde,M,Empregada,Mais de 90 minutos,"No mesmo município, noutra freguesia",1
Ramalde,HM,Empregada,61 - 90 minutos,Na freguesia onde reside atualmente,1
Ramalde,H,Estudante,61 - 90 minutos,Na freguesia onde reside atualmente,2
Ramalde,HM,Estudante,61 - 90 minutos,Na freguesia onde reside atualmente,2
Ramalde,H,Total,61 - 90 minutos,Na freguesia onde reside atualmente,3
Ramalde,M,Estudante,61 - 90 minutos,"No mesmo município, noutra freguesia",3
Ramalde,M,Estudante,Mais de 90 minutos,"No mesmo município, noutra freguesia",3
Ramalde,HM,Total,61 - 90 minutos,Na freguesia onde reside atualmente,3
Ramalde,M,Total,Mais de 90 minutos,"No mesmo município, noutra freguesia",4
Ramalde,H,Empregada,Mais de 90 minutos,"No mesmo município, noutra freguesia",5
Ramalde,H,Estudante,61 - 90 minutos,"No mesmo município, noutra freguesia",5
Ramalde,H,Estudante,Mais de 90 minutos,"No mesmo município, noutra freguesia",5
Ramalde,HM,Empregada,Mais de 90 minutos,"No mesmo município, noutra freguesia",6
Ramalde,HM,Estudante,61 - 90 minutos,"No mesmo município, noutra freguesia",8
Ramalde,HM,Estudante,Mais de 90 minutos,"No mesmo município, noutra freguesia",8
Ramalde,H,Empregada,61 - 90 minutos,"No mesmo município, noutra freguesia",10
Ramalde,H,Total,Mais de 90 minutos,"No mesmo município, noutra freguesia",10
Ramalde,H,Estudante,31 - 60 minutos,Na freguesia onde reside atualmente,13
Ramalde,HM,Total,Mais de 90 minutos,"No mesmo município, noutra freguesia",14
Ramalde,H,Total,61 - 90 minutos,"No mesmo município, noutra freguesia",15
Ramalde,M,Estudante,31 - 60 minutos,Na freguesia onde reside atualmente,16
Ramalde,M,Empregada,61 - 90 minutos,"No mesmo município, noutra freguesia",23
Ramalde,M,Total,61 - 90 minutos,"No mesmo município, noutra freguesia",26
Ramalde,HM,Estudante,31 - 60 minutos,Na freguesia onde reside atualmente,29
Ramalde,H,Empregada,31 - 60 minutos,Na freguesia onde reside atualmente,31
Ramalde,HM,Empregada,61 - 90 minutos,"No mesmo município, noutra freguesia",33
Ramalde,HM,Total,61 - 90 minutos,"No mesmo município, noutra freguesia",41
Ramalde,H,Total,31 - 60 minutos,Na freguesia onde reside atualmente,44
Ramalde,M,Empregada,31 - 60 minutos,Na freguesia onde reside atualmente,46
Ramalde,M,Total,31 - 60 minutos,Na freguesia onde reside atualmente,62
Ramalde,HM,Empregada,31 - 60 minutos,Na freguesia onde reside atualmente,77
Ramalde,HM,Total,31 - 60 minutos,Na freguesia onde reside atualmente,106
Ramalde,H,Estudante,31 - 60 minutos,"No mesmo município, noutra freguesia",123
Ramalde,M,Estudante,31 - 60 minutos,"No mesmo município, noutra freguesia",159
Ramalde,H,Empregada,16 - 30 minutos,Na freguesia onde reside atualmente,175
Ramalde,H,Estudante,16 - 30 minutos,Na freguesia onde reside atualmente,224
Ramalde,M,Estudante,16 - 30 minutos,Na freguesia onde reside atualmente,226
Ramalde,H,Empregada,31 - 60 minutos,"No mesmo município, noutra freguesia",232
Ramalde,HM,Estudante,31 - 60 minutos,"No mesmo município, noutra freguesia",282
Ramalde,M,Empregada,16 - 30 minutos,Na freguesia onde reside atualmente,285
Ramalde,H,Total,31 - 60 minutos,"No mesmo município, noutra freguesia",355
Ramalde,H,Total,16 - 30 minutos,Na freguesia onde reside atualmente,399
