section,gender,type,count
131217050,M,worker_1st_sector,0.0
131217050,M,worker_2nd_sector,18.0
131217050,M,worker_3rd_sector,231.0
131217050,M,autonomous_or_employer,23.0
131217050,M,students_age_10_14,12.0
131217050,M,students_age_15_19,13.0
131217050,M,students_age_20_24,20.0
131217050,M,housestay,18.0
131217050,M,reformed,165.0
131217050,M,children_under_10,30.0
131217050,M,undemployed,57.0
131217050,H,worker_1st_sector,1.0
131217050,H,worker_2nd_sector,34.0
131217050,H,worker_3rd_sector,181.0
131217050,H,autonomous_or_employer,20.0
131217050,H,students_age_10_14,11.0
131217050,H,students_age_15_19,19.0
131217050,H,students_age_20_24,13.0
131217050,H,housestay,3.0
131217050,H,reformed,94.0
131217050,H,children_under_10,31.0
131217050,H,undemployed,53.0
131217049,M,worker_1st_sector,0.0
131217049,M,worker_2nd_sector,15.0
131217049,M,worker_3rd_sector,158.0
131217049,M,autonomous_or_employer,31.0
131217049,M,students_age_10_14,9.0
131217049,M,students_age_15_19,9.0
131217049,M,students_age_20_24,6.0
131217049,M,housestay,20.0
131217049,M,reformed,138.0
131217049,M,children_under_10,19.0
131217049,M,undemployed,62.0
131217049,H,worker_1st_sector,0.0
131217049,H,worker_2nd_sector,32.0
131217049,H,worker_3rd_sector,142.0
131217049,H,autonomous_or_employer,26.0
131217049,H,students_age_10_14,9.0
131217049,H,students_age_15_19,7.0
131217049,H,students_age_20_24,12.0
131217049,H,housestay,3.0
131217049,H,reformed,106.0
131217049,H,children_under_10,23.0
131217049,H,undemployed,53.0
131203025,M,worker_1st_sector,0.0
131203025,M,worker_2nd_sector,15.0
131203025,M,worker_3rd_sector,139.0
131203025,M,autonomous_or_employer,41.0
131203025,M,students_age_10_14,7.0
131203025,M,students_age_15_19,7.0
131203025,M,students_age_20_24,8.0
131203025,M,housestay,25.0
131203025,M,reformed,146.0
131203025,M,children_under_10,45.0
131203025,M,undemployed,123.0
131203025,H,worker_1st_sector,0.0
131203025,H,worker_2nd_sector,47.0
131203025,H,worker_3rd_sector,92.0
131203025,H,autonomous_or_employer,39.0
131203025,H,students_age_10_14,9.0
131203025,H,students_age_15_19,9.0
131203025,H,students_age_20_24,9.0
131203025,H,housestay,2.0
131203025,H,reformed,122.0
131203025,H,children_under_10,53.0
131203025,H,undemployed,103.0
131203017,M,worker_1st_sector,0.0
131203017,M,worker_2nd_sector,14.0
131203017,M,worker_3rd_sector,144.0
131203017,M,autonomous_or_employer,41.0
131203017,M,students_age_10_14,9.0
131203017,M,students_age_15_19,9.0
131203017,M,students_age_20_24,13.0
131203017,M,housestay,27.0
131203017,M,reformed,146.0
131203017,M,children_under_10,33.0
131203017,M,undemployed,88.0
131203017,H,worker_1st_sector,0.0
131203017,H,worker_2nd_sector,54.0
131203017,H,worker_3rd_sector,115.0
131203017,H,autonomous_or_employer,38.0
131203017,H,students_age_10_14,6.0
131203017,H,students_age_15_19,8.0
131203017,H,students_age_20_24,9.0
131203017,H,housestay,0.0
131203017,H,reformed,109.0
131203017,H,children_under_10,38.0
131203017,H,undemployed,59.0
131217028,M,worker_1st_sector,0.0
131217028,M,worker_2nd_sector,21.0
131217028,M,worker_3rd_sector,283.0
131217028,M,autonomous_or_employer,27.0
131217028,M,students_age_10_14,13.0
131217028,M,students_age_15_19,17.0
131217028,M,students_age_20_24,22.0
131217028,M,housestay,36.0
131217028,M,reformed,207.0
131217028,M,children_under_10,38.0
131217028,M,undemployed,64.0
131217028,H,worker_1st_sector,2.0
131217028,H,worker_2nd_sector,30.0
131217028,H,worker_3rd_sector,207.0
131217028,H,autonomous_or_employer,28.0
131217028,H,students_age_10_14,12.0
131217028,H,students_age_15_19,17.0
131217028,H,students_age_20_24,19.0
131217028,H,housestay,0.0
131217028,H,reformed,126.0
131217028,H,children_under_10,48.0
131217028,H,undemployed,57.0
131210028,M,worker_1st_sector,0.0
131210028,M,worker_2nd_sector,23.0
131210028,M,worker_3rd_sector,231.0
131210028,M,autonomous_or_employer,28.0
131210028,M,students_age_10_14,6.0
131210028,M,students_age_15_19,7.0
131210028,M,students_age_20_24,18.0
131210028,M,housestay,18.0
131210028,M,reformed,91.0
131210028,M,children_under_10,30.0
131210028,M,undemployed,47.0
131210028,H,worker_1st_sector,0.0
131210028,H,worker_2nd_sector,42.0
131210028,H,worker_3rd_sector,195.0
131210028,H,autonomous_or_employer,21.0
131210028,H,students_age_10_14,9.0
131210028,H,students_age_15_19,10.0
131210028,H,students_age_20_24,19.0
131210028,H,housestay,0.0
131210028,H,reformed,65.0
131210028,H,children_under_10,29.0
131210028,H,undemployed,28.0
131202023,M,worker_1st_sector,1.0
131202023,M,worker_2nd_sector,9.0
131202023,M,worker_3rd_sector,147.0
131202023,M,autonomous_or_employer,31.0
131202023,M,students_age_10_14,6.0
131202023,M,students_age_15_19,12.0
131202023,M,students_age_20_24,11.0
131202023,M,housestay,14.0
131202023,M,reformed,160.0
131202023,M,children_under_10,25.0
131202023,M,undemployed,62.0
131202023,H,worker_1st_sector,1.0
131202023,H,worker_2nd_sector,30.0
131202023,H,worker_3rd_sector,115.0
131202023,H,autonomous_or_employer,25.0
131202023,H,students_age_10_14,10.0
